Using device: cuda
Starting training with gradient-based adaptive weighted mask...
Epoch 1/20000, Train Loss: 61.3083, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
  -> New best Validation Set Manhattan Distance: 12.0. Model saved.
Epoch 2/20000, Train Loss: 47.1741, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 3/20000, Train Loss: 39.1291, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 4/20000, Train Loss: 32.8528, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 5/20000, Train Loss: 27.7738, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 6/20000, Train Loss: 23.6334, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 7/20000, Train Loss: 20.1582, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 8/20000, Train Loss: 17.1872, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 9/20000, Train Loss: 14.6231, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 10/20000, Train Loss: 12.3991, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 11/20000, Train Loss: 10.4754, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 12/20000, Train Loss: 8.8278, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 13/20000, Train Loss: 7.4207, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 14/20000, Train Loss: 6.2222, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 15/20000, Train Loss: 5.2043, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 16/20000, Train Loss: 4.3437, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 17/20000, Train Loss: 3.6183, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 18/20000, Train Loss: 3.0089, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 19/20000, Train Loss: 2.4977, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 20/20000, Train Loss: 2.0689, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 21/20000, Train Loss: 1.7107, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 22/20000, Train Loss: 1.4133, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 23/20000, Train Loss: 1.1662, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 24/20000, Train Loss: 0.9619, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 25/20000, Train Loss: 0.7930, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 26/20000, Train Loss: 0.6538, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 27/20000, Train Loss: 0.5384, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 28/20000, Train Loss: 0.4436, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 29/20000, Train Loss: 0.3653, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 30/20000, Train Loss: 0.3013, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 31/20000, Train Loss: 0.2485, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 32/20000, Train Loss: 0.2054, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 33/20000, Train Loss: 0.1694, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 34/20000, Train Loss: 0.1407, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 35/20000, Train Loss: 0.1176, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
  -> Train loss below 0.1. Mask weight reduction is now enabled.
Epoch 36/20000, Train Loss: 0.0980, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
  -> Validation Set Manhattan Distance did not improve for 10 epochs.
  -> Unmasked Loss (Gradient Magnitude): 0.2174, Calculated Decrement: 0.0230
  -> Reducing mask weight to 0.977.
  -> Mask weight reduction is now disabled until train loss is below 0.001 again.
Epoch 37/20000, Train Loss: 0.3829, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 38/20000, Train Loss: 0.2984, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 39/20000, Train Loss: 0.2831, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 40/20000, Train Loss: 0.2730, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 41/20000, Train Loss: 0.2629, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 42/20000, Train Loss: 0.2545, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 43/20000, Train Loss: 0.2479, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 44/20000, Train Loss: 0.2417, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 45/20000, Train Loss: 0.2374, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 46/20000, Train Loss: 0.2332, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 47/20000, Train Loss: 0.2299, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 48/20000, Train Loss: 0.2276, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 49/20000, Train Loss: 0.2246, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 50/20000, Train Loss: 0.2227, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 51/20000, Train Loss: 0.2215, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 52/20000, Train Loss: 0.2198, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 53/20000, Train Loss: 0.2189, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 54/20000, Train Loss: 0.2168, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
Epoch 55/20000, Train Loss: 0.2144, Validation Set Manhattan Distance: 12.0, Mask Weight: 0.977
