Using device: cuda
Starting training with gradient-based adaptive weighted mask...
Epoch 1/20000, Train Loss: 58.4424, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
  -> New best Validation Set Manhattan Distance: 12.0. Model saved.
Epoch 2/20000, Train Loss: 44.2769, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 3/20000, Train Loss: 35.9469, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 4/20000, Train Loss: 30.3425, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 5/20000, Train Loss: 25.6686, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 6/20000, Train Loss: 21.5719, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 7/20000, Train Loss: 18.1895, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 8/20000, Train Loss: 15.2907, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 9/20000, Train Loss: 12.7736, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 10/20000, Train Loss: 10.6066, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 11/20000, Train Loss: 8.7632, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 12/20000, Train Loss: 7.2052, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 13/20000, Train Loss: 5.8992, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 14/20000, Train Loss: 4.8127, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 15/20000, Train Loss: 3.9137, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 16/20000, Train Loss: 3.1736, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 17/20000, Train Loss: 2.5677, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 18/20000, Train Loss: 2.0726, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 19/20000, Train Loss: 1.6698, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 20/20000, Train Loss: 1.3426, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 21/20000, Train Loss: 1.0783, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 22/20000, Train Loss: 0.8643, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 23/20000, Train Loss: 0.6914, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 24/20000, Train Loss: 0.5535, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 25/20000, Train Loss: 0.4425, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
Epoch 26/20000, Train Loss: 0.3529, Validation Set Manhattan Distance: 12.0, Mask Weight: 1.000
