Using device: cuda
Starting training with gradient-based adaptive weighted mask...
Epoch 1/20000, Train Loss: 56.4073, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
  -> New best Validation Set Manhattan Distance: 588.0. Model saved.
Epoch 2/20000, Train Loss: 40.6044, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 3/20000, Train Loss: 32.5713, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 4/20000, Train Loss: 26.7620, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 5/20000, Train Loss: 22.3504, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 6/20000, Train Loss: 18.8587, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 7/20000, Train Loss: 15.8994, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 8/20000, Train Loss: 13.3742, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 9/20000, Train Loss: 11.2192, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 10/20000, Train Loss: 9.4059, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 11/20000, Train Loss: 7.8722, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 12/20000, Train Loss: 6.5800, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 13/20000, Train Loss: 5.4923, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 14/20000, Train Loss: 4.5791, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 15/20000, Train Loss: 3.8130, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 16/20000, Train Loss: 3.1712, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 17/20000, Train Loss: 2.6336, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 18/20000, Train Loss: 2.1832, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
Epoch 19/20000, Train Loss: 1.8067, Validation Set Manhattan Distance: 588.0, Mask Weight: 1.000
